Circle,Division,Work Completion Certificate,,,Operation Acceptance Certificate,,
,,Total applied,Certificate issued,Certificate balance,Total applied,Certificate issued,Certificate balance
City circle Bhopal,East DIvision Bhopal,94,21,73,18,18,0
,North Division Bhopal,53,16,37,10,5,5
,O&M Division Kolar,47,3,44,0,0,0
,South Division Bhopal,8,1,7,0,0,0
,West Division Bhopal,13,1,12,0,0,0
Total,,215,42,173,28,23,5
O&M Circle Bhopal,O&M Division Basoda,13,10,3,29,5,24
,O&M Division Bhairunda,106,72,34,26,0,26
,O&M Division Bhopal,394,338,56,91,0,91
,O&M Division Budni,83,67,16,2,0,2
,O&M Division Mandideep,24,10,14,2,0,2
Total,,620,497,123,150,5,145
O&M Circle Betul,O&M Division Betul (North),100,99,1,61,61,0
,O&M Division Betul (South),133,129,4,82,82,0
,O&M Division Multai,89,87,2,58,57,1
Total,,322,315,7,201,200,1
O&M Circle Harda,O&M Division Harda North,146,109,37,0,0,0
,O&M Division Harda South,307,287,20,0,0,0
Total,,453,396,57,0,0,0
O&M Circle Narmadapuram ,O&M Division Itarsi,199,196,3,93,93,0
,O&M Division Narmadapuram,285,266,19,162,162,0
,O&M Division Pipariya,403,381,22,255,253,2
,O&M Division Sohagpur,282,272,10,197,197,0
Total,,1169,1115,54,707,705,2
O&M Circle Raisen,O&M Division Bareli,31,10,21,0,0,0
,O&M Division Obaidullaganj,4,4,,0,0,0
,O&M Division Raisen,77,41,31,12,10,2
Total,,112,55,52,12,10,2
O&M Circle Rajgarh,O&M Division Biaora,75,1,28,0,0,0
,O&M Division Jeerapur,211,146,127,0,0,0
,O&M Division Narsinghgarh,23,1,9,0,0,0
,O&M Division Rajgarh,125,91,104,2,0,2
Total,,434,239,268,2,0,2
O&M Circle Sehore,O&M Division Ashta,46,18,28,1,1,0
,O&M Division Sehore,135,27,108,2,2,0
Total,,181,45,136,3,3,0
O&M Circle Vidisha,O&M Division Basoda,13,10,36,29,5,24
,O&M Division Vidisha,413,279,142,52,7,45
Total,,426,289,178,81,12,69
City Circle Gwalior,City Division (East) Gwalior,2,2,0,2,0,2
,City Division (South) Gwalior,1,1,0,1,0,1
Total,,3,3,0,3,0,3
O&M Circle Gwalior,O&M Division Dabra,33,15,18,0,0,0
,O&M Division Gwalior,22,16,7,1,0,1
,O&M Division Seondha,21,21,1,8,8,0
Total,,76,52,26,9,8,1
O&M Circle Ashoknagar,O&M Division Ashoknagar,106,65,38,14,11,3
,O&M Division Mungawli,42,25,16,3,3,0
Total,,148,90,54,17,14,3
O&M Circle Bhind,O&M Division Bhind,72,18,55,5,5,0
,O&M Division Gohad,9,6,3,5,5,0
,O&M Division Lahar,43,3,40,3,3,0
,O&M Division Mehgaon,11,3,8,1,1,0
Total,,135,30,106,14,14,0
O&M Circle Datia,O&M Division Datia,20,19,2,3,3,0
,O&M Division Seondha,21,21,2,8,8,0
Total,,41,40,4,11,11,0
O&M Circle Guna,O&M Division Guna,97,39,56,2,2,0
,O&M Division Raghogarh,39,6,33,1,1,0
Total,,136,45,89,3,3,0
O&M Circle Morena,O&M Division Ambah,32,18,14,0,0,0
,O&M Division Morena-I,12,4,8,0,0,0
,O&M Division Morena-II,40,18,18,1,1,0
,O&M Division Sabalgarh,36,8,28,2,2,0
Total,,120,48,68,3,3,0
O&M Circle Sheopur,O&M Division Sheopur North,76,74,3,22,11,11
,O&M Division Sheopur South,69,66,16,24,6,18
Total,,145,140,19,46,17,29
O&M Circle Shivpuri,O&M Division Pichhore,23,15,8,0,0,0
,O&M Division Shivpuri 1,63,55,6,1,0,1
,O&M Division Shivpuri 2,33,26,8,1,0,1
Total,,119,96,22,2,0,2
Grand Total,,4855,3537,1436,1292,1028,264
